Name,Team,PER,OWS,DWS
Alex Abrines,Oklahoma City Thunder,6.3,0.1,0.6
Quincy Acy,Phoenix Suns,2.9,-0.1,0
Jaylen Adams,Atlanta Hawks,7.6,-0.1,0.2
Steven Adams,Oklahoma City Thunder,18.5,5.1,4
Bam Adebayo,Miami Heat,17.9,3.4,3.4
Deng Adel,,2.7,-0.2,0
LaMarcus Aldridge,San Antonio Spurs,22.9,6.4,2.9
Rawle Alkins,,8.1,-0.1,0
Grayson Allen,Utah Jazz,7.5,-0.4,0.4
Jarrett Allen,Brooklyn Nets,18.5,4.4,3.3
Kadeem Allen,,16.2,0.7,0.2
Al-Farouq Aminu,Portland Trail Blazers,13.2,3,2.8
Justin Anderson,Atlanta Hawks,11.2,0.1,0.4
Kyle Anderson,Memphis Grizzlies,12.8,0.8,1.8
Ike Anigbogu,Indiana Pacers,-6,-0.1,0
Giannis Antetokounmpo,Milwaukee Bucks,30.9,8.9,5.5
Kostas Antetokounmpo,,-0.9,-0.1,0
Carmelo Anthony,Atlanta Hawks,10.9,0.1,0.2
OG Anunoby,Toronto Raptors,9.8,0.3,1.7
Ryan Arcidiacono,Chicago Bulls,11.6,2.8,0.9
Trevor Ariza,Washington Wizards,12,1.3,1.2
D.J. Augustin,Orlando Magic,15.7,5,1.9
Deandre Ayton,Phoenix Suns,20.5,4.1,1.7
Dwayne Bacon,Charlotte Hornets,11.7,0.9,0.3
Marvin Bagley III,Sacramento Kings,18.9,2,1.6
Ron Baker,New York Knicks,2.5,-0.2,0.1
Wade Baldwin,Indiana Pacers,1.3,-0.4,0.1
Lonzo Ball,Los Angeles Lakers,11.7,-0.2,1.7
Mohamed Bamba,Orlando Magic,14.9,0.3,1.4
J.J. Barea,Dallas Mavericks,16.3,0.4,0.6
Harrison Barnes,Sacramento Kings,12.8,2,1.6
Will Barton,Denver Nuggets,11,0.1,1.1
Keita Bates-Diop,Minnesota Timberwolves,9.6,0,0.4
Nicolas Batum,Charlotte Hornets,11.9,2,1.7
Jerryd Bayless,Minnesota Timberwolves,8.5,-0.2,0.2
Aron Baynes,Boston Celtics,14,1.3,1.1
Kent Bazemore,Atlanta Hawks,11.9,-0.7,1.4
Bradley Beal,Washington Wizards,20.8,5.9,1.7
Malik Beasley,Denver Nuggets,14.2,2.9,1.6
Michael Beasley,Los Angeles Clippers,15.9,-0.1,0.4
Marco Belinelli,San Antonio Spurs,11.9,1.4,1.1
Jordan Bell,Golden State Warriors,12.9,0.5,1.1
DeAndre' Bembry,Atlanta Hawks,10.8,-0.9,1.7
Dragan Bender,Phoenix Suns,9.5,0,0.4
Dairis Bertans,New Orleans Pelicans,2,-0.2,0
Davis Bertans,San Antonio Spurs,13,2.6,1.5
Patrick Beverley,Los Angeles Clippers,11.8,2.8,2
Khem Birch,Orlando Magic,19.2,1.8,1
Bismack Biyombo,Charlotte Hornets,14.4,1.2,0.8
Nemanja Bjelica,Sacramento Kings,15.4,2.7,1.9
Antonio Blakeney,Chicago Bulls,10.6,-0.8,0.3
Eric Bledsoe,Milwaukee Bucks,19.3,4.4,3.7
Jaron Blossomgame,,10.2,0.2,0.1
Bogdan Bogdanovic,Sacramento Kings,14.1,1.3,1.4
Bojan Bogdanovic,Indiana Pacers,16.1,3.9,2.8
Andrew Bogut,Golden State Warriors,13.4,0.1,0.2
Jonah Bolden,Philadelphia 76ers,12.7,0.5,0.9
Isaac Bonga,Los Angeles Lakers,6,-0.3,0.2
Devin Booker,Phoenix Suns,20.2,3.3,0.3
Chris Boucher,Toronto Raptors,22.2,0.2,0.4
Avery Bradley,Memphis Grizzlies,7.6,-0.6,1
Tony Bradley,Utah Jazz,19.6,0,0.1
Corey Brewer,Philadelphia 76ers,11.6,0.4,0.6
Mikal Bridges,Phoenix Suns,10.8,1.7,1.2
Miles Bridges,Charlotte Hornets,13.1,1.4,1.5
Isaiah Briscoe,Orlando Magic,6.7,-0.3,0.5
Ryan Broekhoff,Dallas Mavericks,10.7,0.5,0.3
Malcolm Brogdon,Milwaukee Bucks,17.8,4.2,2.3
Dillon Brooks,Memphis Grizzlies,7.6,-0.3,0.3
MarShon Brooks,Chicago Bulls,11.6,-0.2,0.3
Bruce Brown,Detroit Pistons,6.9,-0.1,1.6
Jaylen Brown,Boston Celtics,13.5,0.7,2.4
Lorenzo Brown,Toronto Raptors,6.3,-0.5,0.3
Sterling Brown,Milwaukee Bucks,10.9,0.7,1.4
Troy Brown Jr.,Washington Wizards,11.1,0.2,0.4
Jalen Brunson,Dallas Mavericks,12.8,1.5,1
Thomas Bryant,Washington Wizards,21,4.3,1.3
Reggie Bullock,Los Angeles Lakers,10.5,1.6,1.4
Trey Burke,Dallas Mavericks,16.5,1.4,0.5
Alec Burks,Sacramento Kings,12.7,0.7,0.8
Deonte Burton,,7,-0.2,0.3
Jimmy Butler,Philadelphia 76ers,20.2,5.4,2.5
Bruno Caboclo,Memphis Grizzlies,12.4,0.6,0.9
Jose Calderon,Detroit Pistons,7.1,0,0.5
Kentavious Caldwell-Pope,Los Angeles Lakers,12.9,2.3,1.8
Isaiah Canaan,Minnesota Timberwolves,8,0,0.1
Clint Capela,Houston Rockets,23.8,7.8,3
DeMarre Carroll,Brooklyn Nets,12.1,1.5,1.6
Jevon Carter,Memphis Grizzlies,7.8,-0.7,0.7
Vince Carter,Atlanta Hawks,11.8,1.2,0.7
Wendell Carter Jr.,Chicago Bulls,15.2,0.7,1.2
Michael Carter-Williams,Chicago Bulls,14.7,0.2,0.6
Alex Caruso,,13.9,0.5,0.6
Omri Casspi,Memphis Grizzlies,15.7,0.6,0.7
Willie Cauley-Stein,Sacramento Kings,18,3.8,2.9
Troy Caupain,,30.7,0.1,0
Tyler Cavanaugh,,5,0,0
Tyson Chandler,Phoenix Suns,11.2,0.9,1.2
Wilson Chandler,Los Angeles Clippers,8.5,0.5,1
Joe Chealey,,2,0,0
Chris Chiozza,Houston Rockets,7,0,0
Marquese Chriss,Cleveland Cavaliers,9.2,-0.6,0.4
Gary Clark,,9.2,0.3,0.7
Ian Clark,New Orleans Pelicans,8.3,-0.4,0.3
Jordan Clarkson,Cleveland Cavaliers,16.8,1.9,-0.1
John Collins,Atlanta Hawks,21.8,5,1
Zach Collins,Portland Trail Blazers,13.5,1.4,1.5
Darren Collison,Indiana Pacers,16.7,3.9,2.9
Bonzie Colson,,12.9,0,0.2
Mike Conley,Memphis Grizzlies,21.4,5.7,2.3
Pat Connaughton,Milwaukee Bucks,13.6,2,1.9
Quinn Cook,Golden State Warriors,13.1,1,0.8
DeMarcus Cousins,Golden State Warriors,21.4,0.9,1.5
Robert Covington,Minnesota Timberwolves,13.3,0.9,1.6
Allen Crabbe,Brooklyn Nets,7.7,-0.2,1
Torrey Craig,Denver Nuggets,10.4,1.4,1.7
Jamal Crawford,Atlanta Hawks,11.7,0.1,0
Mitch Creek,Brooklyn Nets,20.2,0.1,0
Jae Crowder,Utah Jazz,12.1,1.3,3.1
Dante Cunningham,San Antonio Spurs,10.2,1,0.9
Seth Curry,Portland Trail Blazers,11.4,1.5,0.9
Stephen Curry,Golden State Warriors,24.4,7.2,2.5
Troy Daniels,Phoenix Suns,9.8,0.2,0.1
Anthony Davis,New Orleans Pelicans,30.3,6.4,3.1
Deyonta Davis,Sacramento Kings,15.6,0.3,0.1
Ed Davis,Brooklyn Nets,17.3,3.3,2.5
Dewayne Dedmon,Atlanta Hawks,16,2.1,1.9
Sam Dekker,Washington Wizards,13.3,0.6,0.5
Angel Delgado,,4.3,0,0
Matthew Dellavedova,Cleveland Cavaliers,11.1,0.5,0
Luol Deng,Los Angeles Lakers,14.6,0.5,0.3
DeMar DeRozan,San Antonio Spurs,19.6,3.6,2.6
Marcus Derrickson,,19.4,0.2,0
Cheick Diallo,New Orleans Pelicans,17.5,1.4,1.2
Hamidou Diallo,Oklahoma City Thunder,10.1,0.1,0.7
Gorgui Dieng,Minnesota Timberwolves,18.1,1.5,1.3
Spencer Dinwiddie,Brooklyn Nets,16.3,3.5,1.4
Donte DiVincenzo,Milwaukee Bucks,9.1,0,0.6
Luka Doncic,Dallas Mavericks,19.6,2.1,2.8
Tyler Dorsey,Memphis Grizzlies,11.2,0.2,0.4
Damyean Dotson,New York Knicks,10.8,0.7,0.9
PJ Dozier,,16,0.1,0.1
Goran Dragic,Miami Heat,13.9,0.6,1
Andre Drummond,Detroit Pistons,23.4,4.1,5.9
Jared Dudley,Brooklyn Nets,7.8,0.6,1.2
Kris Dunn,Chicago Bulls,12.4,-0.5,1.2
Kevin Durant,Golden State Warriors,24.2,8.6,2.9
Trevon Duval,,38.3,0.1,0
Vince Edwards,,3.8,0,0
Henry Ellenson,Detroit Pistons,13.1,0.2,0.2
Wayne Ellington,Phoenix Suns,11.8,1.3,1.4
Joel Embiid,Philadelphia 76ers,26.1,4.9,3.8
James Ennis,Philadelphia 76ers,11,1.6,1
Drew Eubanks,,15.1,0.1,0.2
Jacob Evans,Golden State Warriors,3.5,-0.3,0.2
Jawun Evans,Los Angeles Clippers,0.1,-0.2,0
Tyreke Evans,Indiana Pacers,11.5,-1.7,2
Dante Exum,Utah Jazz,11.2,0.2,0.7
Kenneth Faried,Brooklyn Nets,21.6,2.1,0.9
Derrick Favors,Utah Jazz,21.8,4.4,3.5
Cristiano Felicio,Chicago Bulls,13.4,0.9,0.4
Raymond Felton,Oklahoma City Thunder,11.2,0.3,0.4
Terrance Ferguson,Oklahoma City Thunder,6.4,1.2,1.6
Yogi Ferrell,Sacramento Kings,12.7,1.3,0.6
Dorian Finney-Smith,Dallas Mavericks,11,1.2,2
Bryn Forbes,San Antonio Spurs,12,2.5,1.3
Evan Fournier,Orlando Magic,12.3,0.8,2.5
De'Aaron Fox,Sacramento Kings,18.1,3.2,2.5
Melvin Frazier,Orlando Magic,1.2,-0.2,0
Tim Frazier,New Orleans Pelicans,11.7,1.3,0.7
Jimmer Fredette,Phoenix Suns,3.6,-0.2,0
Channing Frye,Cleveland Cavaliers,8.9,0.1,0
Markelle Fultz,Orlando Magic,10.5,-0.1,0.4
Danilo Gallinari,Los Angeles Clippers,21,6.4,1.8
Langston Galloway,Detroit Pistons,10.7,2.1,1.3
Billy Garrett,,9.8,0,0
Marc Gasol,Toronto Raptors,16.7,2,4
Pau Gasol,San Antonio Spurs,16.7,0.5,0.5
Rudy Gay,San Antonio Spurs,17.5,2.2,2.2
Paul George,Oklahoma City Thunder,23.3,7,4.9
Taj Gibson,Minnesota Timberwolves,17.8,3.7,1.4
Harry Giles,Sacramento Kings,14.4,0,1
Shai Gilgeous-Alexander,Los Angeles Clippers,13.4,1.5,1.9
Rudy Gobert,Utah Jazz,24.6,8.7,5.7
Brandon Goodwin,,8.3,0,0
Aaron Gordon,Orlando Magic,15.1,1.8,3.3
Eric Gordon,Houston Rockets,12.2,1.7,1
Marcin Gortat,Los Angeles Clippers,12.8,0.6,0.8
Devonte' Graham,Charlotte Hornets,10.3,0.2,0.3
Treveon Graham,Brooklyn Nets,6.1,-0.1,0.6
Jerami Grant,Oklahoma City Thunder,13.8,4,3.3
Jerian Grant,Orlando Magic,10.8,0.5,1.1
Donte Grantham,,-38.1,0,0
Danny Green,Toronto Raptors,13,3,2.9
Draymond Green,Golden State Warriors,12.9,1.1,3.2
Gerald Green,Houston Rockets,11.4,0.9,1
JaMychal Green,Los Angeles Clippers,14.7,0.9,1.9
Jeff Green,Washington Wizards,13.6,2.8,0.8
Blake Griffin,Detroit Pistons,21,5.1,2.9
Daniel Hamilton,Atlanta Hawks,7.1,-0.2,0.1
Dusty Hannahs,Memphis Grizzlies,4.5,-0.1,0
Tim Hardaway Jr.,Dallas Mavericks,13.6,1,0.9
James Harden,Houston Rockets,30.6,11.4,3.8
Maurice Harkless,Portland Trail Blazers,13.2,1.5,1.9
Montrezl Harrell,Los Angeles Clippers,23.4,6.1,2.6
Devin Harris,Dallas Mavericks,10.7,0.6,0.9
Gary Harris,Denver Nuggets,12.2,1.1,1.5
Joe Harris,Brooklyn Nets,13.5,3.8,1.7
Tobias Harris,Philadelphia 76ers,17.2,4.5,2.6
Andrew Harrison,Memphis Grizzlies,5.8,-0.1,0
Shaquille Harrison,Phoenix Suns,12.4,-0.1,1.6
Josh Hart,Los Angeles Lakers,9.3,0.2,1.9
Isaiah Hartenstein,Houston Rockets,10,0.2,0.3
Udonis Haslem,Miami Heat,3.6,-0.2,0.1
Gordon Hayward,Boston Celtics,15.6,2.6,2.3
John Henson,Cleveland Cavaliers,17.1,0.1,0.4
Juan Hernangomez,Denver Nuggets,11,1.6,1.4
Willy Hernangomez,Charlotte Hornets,20.4,1.8,0.8
Mario Hezonja,New York Knicks,10.8,-1.1,1.1
Isaiah Hicks,,17.4,0.1,0
Buddy Hield,Sacramento Kings,17.5,4.3,1.6
Haywood Highsmith,,4.5,0,0
Nene,Houston Rockets,11.9,0.8,0.6
George Hill,Milwaukee Bucks,12.1,1.5,1.3
Solomon Hill,New Orleans Pelicans,6.8,0.1,0.4
Aaron Holiday,Indiana Pacers,11.9,0.1,0.8
Jrue Holiday,New Orleans Pelicans,19.4,3.5,1.9
Justin Holiday,Memphis Grizzlies,10,-0.4,2.5
Rondae Hollis-Jefferson,Brooklyn Nets,12.5,-0.5,1.7
Richaun Holmes,Phoenix Suns,20.7,3.1,1.1
Rodney Hood,Portland Trail Blazers,12.3,2.1,0.5
Al Horford,Boston Celtics,20.2,4.5,2.9
Danuel House,,12.2,1.6,0.7
Dwight Howard,Washington Wizards,17.4,0.4,0.2
Kevin Huerter,Atlanta Hawks,10.1,0.7,0.7
Isaac Humphries,Atlanta Hawks,3.4,-0.1,0
R.J. Hunter,,21.5,0.1,0
Chandler Hutchison,Chicago Bulls,8.8,0,0.6
Serge Ibaka,Toronto Raptors,18.7,2.8,3.3
Andre Iguodala,Golden State Warriors,13.1,2.4,1.8
Ersan Ilyasova,Milwaukee Bucks,11.6,1.2,1.9
Joe Ingles,Utah Jazz,13.4,2.5,3.6
Andre Ingram,Los Angeles Lakers,-11.9,-0.1,0
Brandon Ingram,Los Angeles Lakers,13.4,0.6,1.4
Kyrie Irving,Boston Celtics,24.3,6.2,2.9
Jonathan Isaac,Orlando Magic,13,0.9,3.1
Wesley Iwundu,Orlando Magic,8.7,0.5,1.4
Demetrius Jackson,Boston Celtics,21,0.2,0
Frank Jackson,New Orleans Pelicans,9.4,0.1,0.4
Jaren Jackson Jr.,Memphis Grizzlies,16.4,1.2,2.2
Josh Jackson,Phoenix Suns,10.6,-2.8,1.1
Justin Jackson,Dallas Mavericks,11.3,2,0.9
Reggie Jackson,Detroit Pistons,15.2,3.1,1.9
LeBron James,Los Angeles Lakers,25.6,4.7,2.6
Amile Jefferson,,21.1,0.2,0.1
John Jenkins,Washington Wizards,9.7,0.2,0
Jonas Jerebko,Golden State Warriors,13.5,2.1,1.2
Alize Johnson,Indiana Pacers,6.3,-0.1,0.1
Amir Johnson,Philadelphia 76ers,13.1,0.4,0.7
B.J. Johnson,Atlanta Hawks,12.8,0,0
